Name,Scientific_Name,Height,Breadth,City,Description,Pros,Cons,Leaf Color,Lifespan,Type
Teak Tree,Tectona grandis,19.4,22.7,Jaipur,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,232,Deciduous
Karanj Tree,Pongamia pinnata,36.2,23.5,Bengaluru,Used for biodiesel and shade,Oil-producing,Messy pods,Green,258,Deciduous
Teak Tree,Tectona grandis,34,9,Indore,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,289,Deciduous
Peach Tree,Prunus persica,35.3,4.8,Chennai,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,232,Deciduous
Bael Tree,Aegle marmelos,26,7.7,Ranchi,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,287,Deciduous
Coconut Tree,Cocos nucifera,34.9,19.7,Ahmedabad,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,66,Evergreen
Mango Tree,Mangifera indica,5.5,10.2,Lucknow,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,50,Evergreen
Kadamba,Neolamarckia cadamba,27.6,15.5,Lucknow,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,85,Evergreen
Karanj Tree,Pongamia pinnata,23.3,16.3,Ranchi,Used for biodiesel and shade,Oil-producing,Messy pods,Green,142,Deciduous
Coconut Tree,Cocos nucifera,16,3.1,Coimbatore,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,49,Evergreen
Gulmohar,Delonix regia,33.6,21.3,Delhi,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,80,Deciduous
Neem Tree,Azadirachta indica,23.2,22.1,Indore,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,138,Evergreen
Jackfruit Tree,Artocarpus heterophyllus,25.6,20.1,Coimbatore,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,198,Evergreen
Karanj Tree,Pongamia pinnata,32.8,23.8,Jaipur,Used for biodiesel and shade,Oil-producing,Messy pods,Green,292,Deciduous
Kadamba,Neolamarckia cadamba,23.1,19.4,Kochi,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,42,Evergreen
Banyan Tree,Ficus benghalensis,9.4,9,Kochi,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,80,Evergreen
Papaya Tree,Carica papaya,15.5,7.1,Patna,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,55,Evergreen
Amaltas,Cassia fistula,12.8,24.3,Mumbai,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,300,Deciduous
Coconut Tree,Cocos nucifera,36.3,16,Delhi,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,228,Evergreen
Bamboo,Bambusoideae,21.4,21.8,Pune,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,106,Evergreen
Peepal Tree,Ficus religiosa,36,7.6,Patna,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,164,Deciduous
Coconut Tree,Cocos nucifera,8.9,12.5,Pune,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,294,Evergreen
Amaltas,Cassia fistula,21.8,8.3,Mumbai,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,132,Deciduous
Amaltas,Cassia fistula,6.1,13.6,Bengaluru,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,196,Deciduous
Teakwood,Tectona grandis,14.9,13.4,Guwahati,High-value timber tree,Durable wood,Expensive,Green,74,Deciduous
Palm Tree,Arecaceae,31.4,22.2,Guwahati,Tropical ornamental tree,Aesthetic value,Low shade,Green,106,Evergreen
Teakwood,Tectona grandis,30.6,15.1,Mumbai,High-value timber tree,Durable wood,Expensive,Green,51,Deciduous
Mahogany,Swietenia macrophylla,5.8,14.6,Mumbai,Valuable timber tree,High-quality wood,Slow growing,Green,75,Deciduous
Gulmohar,Delonix regia,16.4,7.3,Bhopal,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,63,Deciduous
Teakwood,Tectona grandis,11.3,24.2,Ranchi,High-value timber tree,Durable wood,Expensive,Green,224,Deciduous
Banyan Tree,Ficus benghalensis,11.6,5.6,Ahmedabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,78,Evergreen
Amaltas,Cassia fistula,28.1,14.4,Indore,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,78,Deciduous
Gulmohar,Delonix regia,24.6,19.6,Chennai,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,205,Deciduous
Jamun Tree,Syzygium cumini,24.8,24.9,Surat,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,254,Evergreen
Tamarind Tree,Tamarindus indica,9.4,5.6,Nagpur,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,146,Deciduous
Mango Tree,Mangifera indica,38.6,4,Delhi,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,110,Evergreen
Bael Tree,Aegle marmelos,17.1,24.1,Jaipur,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,220,Deciduous
Kadamba,Neolamarckia cadamba,26.5,21.6,Delhi,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,69,Evergreen
Neem Tree,Azadirachta indica,14.7,9.9,Patna,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,296,Evergreen
Jackfruit Tree,Artocarpus heterophyllus,27.3,6.4,Nagpur,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,131,Evergreen
Papaya Tree,Carica papaya,12.3,10.5,Nagpur,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,46,Evergreen
Arjun Tree,Terminalia arjuna,36.5,20.1,Ranchi,Used in traditional medicine,Medicinal bark,Needs moisture,Green,150,Deciduous
Palm Tree,Arecaceae,37.2,9.7,Jaipur,Tropical ornamental tree,Aesthetic value,Low shade,Green,195,Evergreen
Peach Tree,Prunus persica,6.5,6.2,Ranchi,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,264,Deciduous
Teakwood,Tectona grandis,27.3,24,Jaipur,High-value timber tree,Durable wood,Expensive,Green,136,Deciduous
Kadamba,Neolamarckia cadamba,20.7,4.4,Patna,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,131,Evergreen
Jamun Tree,Syzygium cumini,38.9,7.2,Guwahati,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,186,Evergreen
Bamboo,Bambusoideae,34.8,16,Nagpur,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,127,Evergreen
Arjun Tree,Terminalia arjuna,12.2,24.6,Nagpur,Used in traditional medicine,Medicinal bark,Needs moisture,Green,184,Deciduous
Neem Tree,Azadirachta indica,15.3,21.9,Bhopal,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,56,Evergreen
Teak Tree,Tectona grandis,7.9,18.7,Lucknow,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,87,Deciduous
Peepal Tree,Ficus religiosa,30.4,20.9,Bhopal,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,277,Deciduous
Kadamba,Neolamarckia cadamba,9.5,17.9,Chennai,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,66,Evergreen
